人工,预测
O,O
O,O
B_cause,O
I_cause,O
I_cause,O
O,O
O,O
O,O
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
O,O
O,O
O,O
B_tool,B_medicine
I_tool,I_medicine
I_tool,I_medicine
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B_datetime
O,I_datetime
B_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
B_sickness,B_sickness
I_sickness,I_sickness
B_sickness,I_sickness
I_sickness,I_sickness
I_sickness,I_sickness
I_sickness,I_sickness
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_surgery,O
I_surgery,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_symptom,O
I_symptom,O
I_symptom,B_part
I_symptom,I_part
O,O
O,O
O,O
O,O
O,O
B_physiology,O
I_physiology,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_datetime,O
I_datetime,O
I_datetime,O
I_datetime,O
O,O
O,O
O,O
B_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
B_symptom,O
I_symptom,O
I_symptom,O
I_symptom,B_physiology
I_symptom,I_physiology
O,O
O,O
O,O
O,O
B_physiology,B_physiology
I_physiology,I_physiology
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_part,O
I_part,B_surgery
O,I_surgery
O,I_surgery
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_symptom,B_symptom
I_symptom,I_symptom
O,O
B_datetime,O
I_datetime,O
I_datetime,O
I_datetime,O
O,O
O,O
B_check,B_check
I_check,I_check
O,O
O,O
B_sickness,B_sickness
I_sickness,I_sickness
I_sickness,I_sickness
I_sickness,I_sickness
O,O
B_sickness,B_sickness
I_sickness,I_sickness
I_sickness,I_sickness
I_sickness,I_sickness
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_part,B_part
I_part,I_part
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
B_physiology,B_physiology
I_physiology,I_physiology
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
B_physiology,B_physiology
I_physiology,I_physiology
O,O
O,O
O,O
O,O
B_physiology,B_physiology
I_physiology,I_physiology
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_physiology,O
I_physiology,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B_symptom
O,I_symptom
O,I_symptom
O,I_symptom
O,I_symptom
O,I_symptom
O,O
B_datetime,O
I_datetime,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_sickness,B_symptom
I_sickness,I_symptom
I_sickness,I_symptom
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
O,O
O,O
O,O
B_symptom,O
I_symptom,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
B_symptom,O
I_symptom,O
B_sickness,B_symptom
I_sickness,I_symptom
I_sickness,I_symptom
I_sickness,I_symptom
O,O
O,O
O,O
O,O
B_cause,B_symptom
I_cause,I_symptom
I_cause,I_symptom
O,O
O,O
O,O
B_cause,B_sickness
I_cause,I_sickness
I_cause,I_sickness
I_cause,I_sickness
I_cause,I_sickness
I_cause,I_sickness
O,O
B_cause,B_sickness
I_cause,I_sickness
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_part,B_part
I_part,I_part
I_part,I_part
I_part,I_part
O,O
O,O
O,O
B_part,B_part
I_part,I_part
B_part,B_part
I_part,I_part
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_physiology,B_physiology
I_physiology,I_physiology
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_sickness,O
I_sickness,O
I_sickness,O
I_sickness,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_cause,O
I_cause,O
I_cause,O
I_cause,O
I_cause,O
I_cause,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_sickness,B_symptom
I_sickness,I_symptom
I_sickness,I_symptom
I_sickness,I_symptom
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_datetime,B_datetime
I_datetime,I_datetime
O,O
O,O
O,O
B_age,O
I_age,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
B_cause,O
I_cause,O
I_cause,O
I_cause,O
O,O
O,O
B_cause,O
I_cause,O
I_cause,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_physiology,B_physiology
I_physiology,I_physiology
O,O
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
B_symptom,B_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
I_symptom,I_symptom
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
I_symptom,O
O,O
O,O
O,O
B_surgery,O
I_surgery,O
I_surgery,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,B_physiology
O,I_physiology
O,I_physiology
O,O
B_datetime,B_datetime
I_datetime,I_datetime
I_datetime,I_datetime
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B_sickness,B_sickness
I_sickness,I_sickness
I_sickness,I_sickness
O,O
O,O
B_sickness,B_sickness
I_sickness,I_sickness
I_sickness,I_sickness
I_sickness,I_sickness
O,O
B_age,O
I_age,O
O,O
B_physiology,B_physiology
I_physiology,I_physiology
B_datetime,O
I_datetime,O
I_datetime,O
I_datetime,O
