sentence,label
、河南省南阳市阳光男科医院,无
、您好，医生还是新世季人才入选者，,咨询专家
.您好，收费多少？过去总有见意进一步CTu检查，CTu多少钱,咨询价格
.您好，收费多少？过去总有见意进一步CTu检查，CTu多少钱,咨询价格
。。。直接加扣扣细聊吧,咨询QQ
。那我加你,咨询微信
:那家医院属于正规医院,无
:你说给我出西单地铁口，A囗，B囗最近那我就知道了。谢谢。,咨询路线
`等我加你,确定联系意愿
∫术后可以走路吗/需要住院吗,咨询后果
……好恐怖,描述情绪
0695你的手机号？,咨询电话
1??2分钟射没事对吗,咨询后果
1000元做的,描述就诊史
10天就要拆顶了,无
11-12公分,描述症状
11公分，能长到多少，你们药,咨询药物
11厘米,无
11厘米,无
12公分,无
1350100****，我是女的，我被传染了。怎么治疗,咨询治疗方式
1350100****，我是女的，我被传染了。怎么治疗,咨询治疗方式
1352230****挂号,咨询挂号
1381040****可以挂号吗,确定联系意愿
1391194****挂号,咨询挂号
13厘米算正常吗,咨询生理现象
13厘米正常吗？,无
14，8厘米,无
16.5厘米,描述症状
16勃起多长是正常的,无
16岁男孩经常射精呢？,描述症状
17，第一次,描述症状
17，就是头一次,无
17，就是头一次,描述症状
1760028****???我有点害怕,确定联系意愿
18，是不是代表有什么疾病开始发作了,咨询项目介绍
1851343****找顾大夫对吗,确定联系意愿
1861218****挂号可以吗？,咨询挂号
1861836****吗？,咨询电话
1869729****?木先生?我有早泄,确定联系意愿
19，一两年了吧,描述症状
19岁的男孩子使用勃龙伟哥会有危害吗？,咨询后果
1分钟,无
1我想咨询完了再来医院,确定预约时间
23第一次,描述症状
24?前几天有一次,描述症状
24了。自八月初附睾炎?后。九月开始出现血精到现在。期间医生一直开左氧。,描述就诊史
24有一个多星期了,描述症状
27?五六分钟一次,描述频率
2个月前一次，最近一次，俩次都是黑红色,描述症状
2厘米,无
"30,11厘米",描述症状
30，有一年了,描述症状
307一个疗程7条干我一万多另一个医院一个疗程干我七千多，我就想知道你们那里一个疗程是几天大概多少钱,咨询价格
34去年冬天开始,描述症状
36.是第一次,描述症状
48好几年了,描述症状
4年前就有了，好治吗,咨询项目介绍
"55,北医三院确诊,附件上还有个囊肿,手术时间多长,住院几天,费用多少",咨询价格
5月份做过一次,描述就诊史
6000的有吗,咨询价格
799083365我们能QQ沟通吗？我打算晚上过去，你们几点下班,咨询上班时间
799083365我们能QQ沟通吗？我打算晚上过去，你们几点下班,咨询上班时间
8。?9。次,描述频率
82岁老人做疝气手术,咨询项目介绍
82岁老人做疝气手术,咨询项目介绍
8公分,描述症状
9厘米,描述症状
9厘米吧,描述症状
9厘米左右,描述症状
B超没有,描述就诊史
KKQQ86,无
o??用预约么,确定预约时间
OK?夜班也不容易?注意休息啊?兄die,无
Q,咨询QQ
q,无
q?q,咨询QQ
Qq,咨询QQ
QQ',咨询QQ
qQQ,咨询QQ
qq吧,咨询QQ
qq吧,咨询QQ
qq吧,咨询QQ
QQ更不会完,咨询QQ
QQ还没有发,咨询QQ
QQ还是微信？,确定联系意愿
QQ行吗,咨询QQ
Qq行吗,咨询QQ
qq行呢？,咨询QQ
QQ号,咨询QQ
'QQ号,咨询QQ
QQ号可以么,咨询QQ
qq号吗，医生,咨询QQ
QQ加不上,咨询QQ
qq可以？,咨询QQ
qq联系吧,咨询QQ
qq您看可以吗,咨询QQ
qq上说,咨询QQ
qq说,咨询QQ
QQ谢谢,咨询QQ
qq有,咨询QQ
qwer19940516,确定联系意愿
Q号,咨询QQ
Q请问你们医院是订点的吗,咨询公司介绍
sq830165,确定联系意愿
啊，你是男医生吗,无
啊，要去医院看看,确定预约时间
哎，上班呢，一个月都没得休息,无
按您说保守治疗就是服药对吧～要服用多长时间啊,咨询治愈时长
嗷，搜这个号就是您的微信吗？,咨询微信
嗷，搜这个号就是您的微信吗？,咨询微信
熬夜多,无
熬夜有，其他的都一般,无
奥，那我这多注意休息就行呗,无
奥，也是你们医院,咨询公司介绍
把你的电话记下了，到时候去给你打电话吧,确定联系意愿
把您微信号给我,咨询微信
"百度快速排名3000元刷到春节后,联系QQ：2732817048",无
半露,描述症状
半年?前?手淫,无
半年了,描述症状
帮我预约一个专家号，1528059****，孙荣顺,确定联系意愿
帮我预约一个专家号，1528059****，孙荣顺,咨询专家
包括住院用药一直到出院是吗,无
包皮,描述症状
包皮,咨询项目介绍
包皮切除时，会麻醉吗？,咨询项目介绍
包皮切割后能走路?开车吗,咨询后果
包皮手术7天以后，用什么消毒,咨询药物
包皮手术多久可以不包扎,咨询治愈时长
包皮手术多久可以手淫,无
包皮手术后多久能拆线,咨询治愈时长
包皮手术你们做有风险吗,咨询项目介绍
包皮手术完，7天后可以洗澡了，能吃海鲜吗,咨询食疗
包皮手术做完什么时候去掉纱布,咨询治愈时长
包皮术后几天可以把纱布拆掉,咨询治愈时长
报告没在身上??在医生哪里,描述就诊史
北京，能不能把你们医院小护士介绍给我个,无
北京京医中医院,无
北京哪个医院治疗胆结石最好,咨询公司介绍
北京男科哪家医院是公立的,咨询公立私立
北京呢,无
北京三甲检查治疗是女医生女护士给检查治疗吗？,咨询专家
北京三甲医院就可以吗？,咨询公立私立
北京暑光医院收费太黑心了换一次药就要开400多块钱的,无
北京曙光医院,无
北京曙光医院不是医保定点医院，是专科医院，,咨询公司介绍
北京顺义呢,无
北京顺义呢,咨询公司介绍
北京太远了来不了,无
北京现代医院,无
北京长虹医院,无
北京长虹医院，你们了解吗？,咨询公司介绍
北京这里,无
本以为人民医院属公立医院可以报销，收费透明,无
比较严重?又康复心切?在网上看了做这个手术能够康复,咨询疗效
比如多吃时间全面恢复,咨询治愈时长
比如我要对我的生殖器官做个检查，有没有女医生就诊,咨询专家
比如我要对我的生殖器官做个检查，有没有女医生就诊,咨询专家
比如小电影?都不能让我没有兴趣,无
必须割么,咨询治疗方式
必须一次成功,无
必须住院治疗吗？,无
便宜点把，,咨询价格
别的医院呢,无
别加微信了 被人家看到多丢人啊,确定联系意愿
别我去检查，发现钱不够，白跑一趟,咨询价格
别吓我啊，,无
病人过两天就来北京你这样我怎么让他找你,无
病因,咨询病因
病因是什么,咨询病因
勃起,无
勃起不坚，买了这种药吃,描述就诊史
勃起的吗,无
勃起方面休息好的情况下是挺好的,无
勃起功能挺强的,描述症状
勃起功能挺强的,描述症状
勃起哈这样正常吗,咨询生理现象
勃起哈这样正常吗,描述症状
勃起还可以吧,描述症状
勃起露,描述症状
勃起也就是25cm,描述症状
勃起长度多少算正常,咨询生理现象
勃起障碍吗,咨询项目介绍
勃起最多11厘米吧,描述症状
补肾吗,无
补肾吗？,无
补肾壮阳吗,咨询疗效
不，上班呢,确定联系意愿
不包含挂号等等其他的把,无
不抽烟很少喝酒，经常熬夜，久坐，性生活几天为频繁。,描述频率
不打扰了，我和他商量一下,无
不打针会好吗,无
不耽误上班吧,咨询治愈时长
不到一分钟,无
不都是连锁的医院吗,咨询公司介绍
不多吃,咨询食疗
不方便 ? 上班时间打吧,确定联系意愿
不敢问他，怕给他压力。,描述情绪
不光是晚上白天也要好几次,描述频率
不过一直纠结是去正规医院还是男科医院,咨询公立私立
不好意思 ? 我是农民收入很低 ? ?所以很在乎钱和效果 ? 谢谢您的答复 ? ? ?选择时间去贵院治疗,确定预约时间
不好意思，我进错科了,无
不好意思，我没有电话,咨询电话
不好意思吧,描述情绪
不好意思的以后再说吧！,确定联系意愿
不好意思的以后再说吧！,确定联系意愿
不好意思哈,描述情绪
不好意思没注意,描述情绪
不喝酒不吃辣椒就没事,无
不会的，没有疼痛感，没有感觉，每次洗澡我都都会特别重视这个，怕对以后要孩子有影响,描述情绪
不会反弹吗,咨询疗效
不会来一次收一次,无
不会有什么问题吧,咨询后果
不加微信,确定联系意愿
不洁性生活是？,咨询项目介绍
不了，还是去正规大医院吧,咨询公立私立
不露出来,描述症状
不明白为什么公立医院没有,咨询公立私立
不能吃,无
不能吃药或者抹什么药啥的吗？,咨询药物
不能加,无
不频繁,无
不频繁啊，有女朋友还手淫什么啊,描述频率
不去，可犟了，怕花钱，我们是外地在京打工的,无
不确定是否有必要做包皮手术,咨询项目介绍
不是，别的医院,无
不是，最近一个月都没有性生活,无
不是很频繁,描述频率
不是每天都有医生做针吗,咨询专家
不是三甲不放心,咨询公立私立
不是特别痒的?只是担心会不会传染艾滋啥的,咨询传染
不是我每年都会全身检查一次的,描述就诊史
不是性生活造成的,无
不是有个延长手术吗？那个延长手术，是不是有很多后遗症的？,咨询后果
不是着凉涨气吗？我自己觉得是气憋的疼,咨询病因
不是正规医院?是个专科医院,咨询公立私立
不损伤的话，会变长吗,无
不太好意思去检查吧，我年纪轻轻的就早泄,描述情绪
不玩QQ,确定联系意愿
不问了你们除了手术还会什么,无
不想开刀,描述情绪
不想去医院还是,无
不想做手术,咨询治疗方式
不想做太多的检查,无
不休息,无
不休息。上班。,无
不赢,无
不用了?不放心我去做个检查就行,确定预约时间
不用了?去给你打电话,咨询电话
不用在喝药了吧,咨询治疗方式
不用正规检查。你就按情况判断就行了，,无
不育？为啥？,咨询病因
不育？为啥？,咨询病因
不远我打车,无
不愿意去小医院，又不知道大医院几号体检,无
不长，很正常，三天左右洗一次澡,描述频率
不知道，一直有性生活,描述症状
不知道不敢让他勃起,描述情绪
不知道是不是这么回事,无
不知道是什么原因，皮肤表面泛红，不碰不疼，按压会疼,咨询病因
不知道为啥最近发生的,咨询病因
不知道咋回事,咨询病因
不知道咋生孩,无
不知道怎么回事,咨询病因
不治 我中午还休息会儿呢,无
才一个多月,无
查什么地方，,咨询检查
查找QQ号,咨询QQ
查这方面能保密吗？全套检查费用多少用时间多长,咨询检查
查这个多少钱？,咨询检查
拆完线打点滴吗？,咨询项目介绍
拆完线是不是可以运动了,无
拆线要看伤口的恢复情况吧！,无
拆线要看伤口的恢复情况吧！,无
常规检查费用多少,咨询检查
常见什么原因呢？！能否告知呢？！,咨询病因
潮,描述症状
车子不限号就过去,确定预约时间
彻底治疗需要多长时间，大概需要多少钱？,咨询价格
晨勃,描述症状
晨勃，一周一次吧！,描述频率
晨勃每天有,描述症状
晨勃是什么意思,无
成活几率小还是不能生,无
成活几率小还是不能生,无
成活率在多少是正常啊？我有一次是46之后又让我隔了5天取了一次70多，医生说算正常,描述就诊史
吃??应该没有效果吧,咨询药物
吃??应该没有效果吧,咨询疗效
吃的对精子有危害吗？,咨询后果
吃点药可以吗,咨询治疗方式
吃降压药，对性功能有影响吗？怎么突然勃起困难？,咨询病因
吃可保健品速效的就好使,描述就诊史
吃了点，没吃多少,咨询食疗
吃什么要,咨询食疗
吃伟哥管用吗？,咨询药物
吃消炎药管用吗,咨询药物
吃药 ? 输液,无
吃药.能好点吗,咨询药物
吃药？,咨询药物
吃药还是直接完蛋了,咨询治疗方式
吃药就可以了吗,咨询药物
吃药呢,咨询药物
吃药能不能好,咨询药物
吃药能行吗,咨询药物
吃药能好？？？？,咨询药物
吃玉米会影响尿路感染吗,咨询后果
抽查次数那,无
抽几次啊,无
抽那个积液是怎么回事,咨询项目介绍
抽烟?不喝酒?也不吃辣,咨询食疗
出现几次了,描述频率
出现一次,描述频率
出现这问题，跟生活习惯有很大关系,无
出现这样的情况是因为性生活太频繁导致的/,无
出现这样的情况是因为性生活太频繁导致的/,无
出租车怎么也找不到你们医院,咨询路线
除了憋尿?手淫?性生活?基本都有,描述症状
除了抽烟，不怎么喝酒也不怎么吃油腻辛辣的东西啊,无
除了抽烟，不怎么喝酒也不怎么吃油腻辛辣的东西啊,咨询食疗
除了说几句我什么时候能来建议去你们医院之类的话之外连这个东西能不能自然增长都不能告诉吗？,咨询项目介绍
处理了4次,描述频率
处理完，用不用请假休息,无
传染病有多少种，全部检查多少钱,咨询检查
次,无
从第一次就有,描述症状
错了，我去的那个医院应该在西客站附近,描述就诊史
打车要好长时间。我在香山这边。,无
打电话聊接一下??在家微信,确定联系意愿
打飞机几分钟就正常,无
打您上边185这号吗,咨询电话
打扰了，搜狗移动下拉，百度手机下拉，uc神马下拉，上词效果很好，考虑刷吗？我的QQ:2956705125您这块负责人的QQ多少呢？,咨询QQ
打扰了，我去自杀了,无
打算去检查一下,咨询检查
打算这两天就去捡查，这方面是通过药物恢复吗,咨询治疗方式
打完飞机包皮水肿怎么样,描述症状
打我的吧,确定联系意愿
打一个电话说吧,咨询电话
大夫，我问下，您说的这个潮湿的部分具体在什么位置,咨询项目介绍
大概的手术流程呢,咨询项目介绍
大概多久能出结果,咨询检查
大概多久能够恢复，多少钱,咨询价格
大概多少钱做检查？,咨询检查
大概几个疗程，费用情况？,咨询价格
大概几天一次，属于健康,描述频率
大概需要多少钱？抽血检查是吗？,咨询价格
大概要恢复多长时间,咨询治愈时长
大概要扎多少针啊？,咨询项目介绍
大腿根部有时会疼，一喝水就上厕所怎么回事,咨询病因
大医院吗,咨询公司介绍
大约多久,咨询治愈时长
大约多久,咨询治愈时长
大约多久,咨询治愈时长
大约多长时间,咨询治愈时长
代夫说的,描述就诊史
担心性交后有感,描述情绪
单子医院不让带走,描述就诊史
但不知道为什么就是射精快,咨询病因
但是喝酒之后?口交硬?但是性交?就软啦?是喝酒因素嘛,咨询病因
但是能怀孕,无
但是手淫3年,无
但是他之前没有性生活啊,无
但是她好像不乐意??我怕她会传染病给我,咨询传染
但是为什么晚上睡睡觉就憋醒了？而且挺硬的,咨询病因
但是我不相信们这里的医生,无
但是我也不担心，因为我只是和我媳妇正常的夫妻生活，今天有点发红,描述症状
但是一般情况下这种网上的都不是大夫，应该算是销售人员对吧,咨询专家
但是有手淫,无
但我输了三天咋还存哪？,咨询病因
当地的医院,无
当时我在网上查的北京军区总医院是最好的三甲医院啊,咨询公立私立
当时做完了加上仪器治疗挺好的～最近有不来好了,描述就诊史
当天能否手术,确定预约时间
倒是没有什么特殊的影响,无
到时侯我再联系你,确定联系意愿
得到医院检查吗,咨询检查
得花多少钱挂号?检查要钱么,咨询检查
得看你怎么玩了,无
得看你怎么玩了,无
得去医院查查呀,咨询检查
等我回头去看看，检查一下,确定预约时间
等有空到医院检查一下,确定预约时间
等有时间请一个月假，选一个医院好好看看吧最近不太方便工作太忙,无
地铁,咨询路线
地铁吧,无
地铁吧，开车堵车,无
地铁东南西北哪个方位,咨询路线
地铁方便,咨询路线
地铁公交,咨询路线
地铁几号线,咨询路线
地铁七号线,无
地铁西单站,无
地铁西单站那口出,咨询路线
地铁西单站那口出,无
地铁有开车也可以,无
地铁有开车也可以,无
地址知到,无
第一次插入，有些心里紧张，而且没有戴套,描述情绪
第一次还是？,无
第一次自慰，心情很难受,无
第一个QQ,咨询QQ
第一句话就很不诚实。,无
点滴管用吗对有,咨询疗效
电话保留就看到微信,确定联系意愿
电话变了,无
电话不便老婆在,确定联系意愿
电话打给您,咨询电话
电话方便么？,咨询电话
电话更不想,确定联系意愿
电话沟通吧 ?这回有点忙 ? ?明天上午吧,咨询电话
电话号码可以吗,咨询电话
电话了解下,咨询电话
电话李说吧,咨询电话
电话里说，你打我的,确定联系意愿
电话聊,咨询电话
电话说,咨询电话
电话说吧,咨询电话
电话问题的状态只可以接。,确定联系意愿
东直门中医院，特需专家男科,无
东直门中医院，特需专家男科,无
懂了。。。我现在没办法去检查怎么办，我在留学，放假还要很久,确定预约时间
动手术延长增粗后还能进行性生活吗？,咨询后果
都没有，就是上班。不能睡觉，两个人一个班,无
都没有怀孕,无
都是第一次,描述症状
都是男医生吧,无
都是男医生看吗,无
都是治疗的时候效果可以，过段时间就不行了,描述就诊史
都是中药材，叫什么我也不清楚,咨询药物
肚子左边疼，不动不疼怎么回事,咨询病因
短息收到了！专家下午几点下班,咨询上班时间
对，303路,无
对，第一次,无
对，对那事没心情,描述情绪
对，就是，那检查看需多少钱？,咨询价格
对。不行找长虹医院他那有病历,描述就诊史
对啊 所以现在赶紧上来咨询,无
对了??检查一次需要多少钱,咨询价格
对了您是男医生吗,无
对忘记，你们医院已经看了，,描述就诊史
对药物治疗，和用仪器治疗,咨询治疗方式
对着肚脐位置,描述症状
多吃点牛羊肉就不疼了,无
多久可以恢复啊,无
多久能好，费用多少,咨询价格
多久能恢复??多少钱,咨询价格
多少钱的检查,咨询价格
多长时间就可以恢复了呀？,咨询治愈时长
多长时间能恢复正常,咨询治愈时长
多长时间能治好，大概多少钱,咨询价格
多长时间能治疗好????得多少钱呢,咨询治愈时长
额，但是啪啪啪好像并没有影响,描述症状
呃，那我查北京三甲医院怎么没看到曙光医院啊,咨询公立私立
恩好的，打扰你了，你也早点休息吧,无
恩谢谢医生，我是夜斑班完了我看怎么的去,确定预约时间
嗯?那就qq说吧,咨询QQ
嗯， 那要怎么治疗呢，大概要多长时间能好,咨询治疗方式
嗯，好的，。有时间我去检查下,确定预约时间
嗯，可能是这个原因,无
嗯，那检查费用呢,咨询检查
