question,"kb_name"
" 在河源，继续读要多长时间",edupromotion
" 但是听说年l龄太大，不容易通过教师资格证考试？",edupromotion
" 有什么专业呢",edupromotion
" 整年交还是可分开",edupromotion
" 揭阳有学校吗？",edupromotion
" 我报中药学应该是大专吧？",edupromotion
" 想问一下一年可以考几科啊",edupromotion
" 这些证有效的吗",edupromotion
" 学费多少呢",edupromotion
"教师证 现在是分三类了吗",edupromotion
" 中山大学有自考全日制的？",edupromotion
" 大专可以直接转回特教的吗",edupromotion
"专插本 那我应聘填哪个学历",edupromotion
" 独立办班一年能考几次",edupromotion
"教师证 非师范生不可以报考吗",edupromotion
" 去学校上课吗",edupromotion
" 证书有保障吗 亲",edupromotion
" 就是想知异地普通话能不能办理教师资格证",edupromotion
" 明天还可以报吗",edupromotion
" 报考的人多不多，18年的最低录取分数多少？",edupromotion
"学历 怎么提升",edupromotion
" 江门有吗？",edupromotion
" 自考生在入学前要考试吗",edupromotion
" 我想知道你们学校有专业会计吗？",edupromotion
" 成人自考本科，必须自己亲自去么",edupromotion
" 叫什么学校？",edupromotion
" 请问什么是专插本",edupromotion
" 网络教育，高中升大专  需要几年？",edupromotion
" 插本的毕业证含金量是",edupromotion
"自考 考试在哪里考不都是一样",edupromotion
"教师证 我籍贯江西，现在在广州工作，能不能在广州考",edupromotion
" 那培训需要钱吗",edupromotion
" 想问下高职高专 的医学专业有什么",edupromotion
" 你好，请问全日制自考属于全日制统分统招吗",edupromotion
"专插本 就是说跨专业的话会比较困难？",edupromotion
" 全日制的是 图片还是有老师讲课",edupromotion
" 专升本要考哪几科？",edupromotion
"教师证 分为综合科目和教育心理学是吗",edupromotion
" 你能讲解下成人大专吗",edupromotion
" 教师证怎么样考?",edupromotion
" 有哪些可以学",edupromotion
" 你们是哪个大学的",edupromotion
" 五邑大学今年有专插本吗",edupromotion
" 国际商务专业有吗",edupromotion
" 没时间呢",edupromotion
" 老师帮忙介绍下呗",edupromotion
"申请学士学位 这边有没有资料能提供的就是，有没有什么硬性标准",edupromotion
" 有什么科目",edupromotion
" 请问韶关学院专插本可以跨？专业",edupromotion
" 自考的是不是很难？",edupromotion
" 广东工业大学难考吗",edupromotion
"专业 什么是比较好考的？",edupromotion
" 我想问下全日制本科除了专插本，还有自考？",edupromotion
"大专学历 所以我不清楚能不能考教师资格证",edupromotion
" 你们还招人吗?",edupromotion
" 请问哪个学校有播音主持专业？",edupromotion
" 院校不是中山大学吗",edupromotion
" 高中毕业生招收吗",edupromotion
" 我咨询我们这边的点说网络教育广东这边停了",edupromotion
"毕业证 能买吗",edupromotion
" 就是我想插嘉应的土木专业，然后那里写着师范，我可以插吗？",edupromotion
" 先考试再进读书考试还是咋样",edupromotion
" 麻烦你先回答下，我如果考个研究生，考编的时候会承认这个学历吗",edupromotion
" 国际贸易实务专业有哪些学校你可以考",edupromotion
"教师资格证 小学，初中，高中有什么差别吗？",edupromotion
"教师资格证 难度大不大呀",edupromotion
" 那怎么升学历，现在升学历是全国范围都认证嘛，还是说只限于广东范围",edupromotion
" 函授本科几年才能毕业",edupromotion
" 请问可以直接买一个证书吗",edupromotion
" 行政管理需要读几年",edupromotion
" 广东自考本科。还能参加2019学位考试吗",edupromotion
" 我想问下那个专插本有没有中医学专业的呀？",edupromotion
" 请问什么时候发资料给我呢？",edupromotion
"教师资格证 考试 初中跟小学有什么区别",edupromotion
" 老师学位证指的是什么证啊？",edupromotion
" 为什么没人加呢",edupromotion
" 广东考生只能报广东省的专插本吗？",edupromotion
" 你好，广东工业大学有专升本吗",edupromotion
" 中专毕业升上去的是什么",edupromotion
" 广州理工大学的，有没有电子专业的",edupromotion
" 药学专业可以报法医学吗",edupromotion
"申请 学士 学位 条件 想问一下你们",edupromotion
" 我想问问就是我可不可以通过嗯，成人高考然后去南方医科大学",edupromotion
" 本科需要统考吗",edupromotion
" 你怎么不说话呢！",edupromotion
" 专升本学历国家承认吗？学信网会查到吗？能否考编制？",edupromotion
"成人教育 含金量哪个好？",edupromotion
" 所以我想知道广州有哪些学校是二本的",edupromotion
" 可以跨专业插本的吗？",edupromotion
" 如今选科要怎么选呢？",edupromotion
" 一般是学哪一个专业的",edupromotion
" 有哪些院校招收呢",edupromotion
" 九几年毕业的能不能查",edupromotion
" 有入学考试么？",edupromotion
" 请问是全日制本科报考嘛",edupromotion
" 山东大学 “消毒供应”本科 2019春季招生否？",edupromotion
" 你们机构不是没有全日制的嘛？",edupromotion
" 自考本科考上后用去读吗？",edupromotion
" 汉语言文学教育的话是可以当老师的是吗",edupromotion
" 那这是要拿到毕业证后才能申请考试的吗",edupromotion
"限制 年龄 自考就不用的吗",edupromotion
"教师资格证 哪一个阶段好考一些呢？",edupromotion
" 有什么专业",edupromotion
" 石基成校可以上夜课吗",edupromotion
" 招全日制的吗",edupromotion
"教师资格证 如果报初中，可以教小学吗？可以教幼儿园吗？",edupromotion
" 英语是自学还是要去上课的",edupromotion
" 想问一下广东有哪些适合的法学专业专插本院校呢？",edupromotion
"成人高考 和函授有什么区别？",edupromotion
" 我在惠州惠阳  惠阳区可以考吗 还是必须到广州考？",edupromotion
" 成人大专能考教师资格证吗",edupromotion
" 不是要考试才能入学吗？",edupromotion
" 何老师，请问一下大专除了本科还有那些专业",edupromotion
" 幼师，就是不是现在报",edupromotion
" 专科阶段有没有服装相关的专业",edupromotion
" 然后师范可以考幼师证吗",edupromotion
" 我现在大二 够时间去准备吗 因为听说插本很难",edupromotion
"插本 那我要准备什么科目",edupromotion
"毕业证 还没有拿到，还在修，是必须拿到才可以考吗，考小学",edupromotion
" 可以补考吗",edupromotion
" 商务英语有什么用",edupromotion
" 有哪些专业？",edupromotion
" 本科结业能直接考本科吗",edupromotion
" 有没有通知书",edupromotion
" 想请问一下短信什么时候发过来呢？",edupromotion
" 想了解本科的，广美有什么专业的？",edupromotion
" 补办准考证的时候可以直接换专业吗",edupromotion
" 有没有全日制的",edupromotion
" 2019年的专插本的A线是不是都不能跨专业了？",edupromotion
" 我看条件里有一要与本专业达到三科或三科以上相同的，这是怎么回事",edupromotion
"专业 可以报什么",edupromotion
" 有没有分其他会计专业呢？",edupromotion
" 请问，广东户籍考生，在外地念书可以考吗？",edupromotion
" 女生有什么专业？",edupromotion
" 学费方面怎么算",edupromotion
" 请问网络班有什么专业呢",edupromotion
" 所有的专业可以吗",edupromotion
" 工程管理专业，可以考哪个科目的老师？",edupromotion
"教师证 难道与专业没有关系吗",edupromotion
" 大专有跟建筑有关的专业吗？",edupromotion
"教师资格证 高中难度比较大吧？",edupromotion
" 老师，请问今年学校插本专业是要对口吗？",edupromotion
" 以后是不是不招了？",edupromotion
"广州美术学院 有这个学校的嘛？",edupromotion
" 专插本法学专业有哪些公立学院",edupromotion
" 可以跨专业吗",edupromotion
" 学的是什么",edupromotion
" 通过率高么",edupromotion
" 广东有这样的学校吗？",edupromotion
" 19年想读电脑专业学校，有什么院校介绍?",edupromotion
" 学多长时间才可以毕业",edupromotion
" 大专 男生有什么专业",edupromotion
" 哪些专业比较容易",edupromotion
" 有大专就不用考幼师证了吗？",edupromotion
" 那有什么专业呀",edupromotion
" 有什么专业呢？",edupromotion
" 为什么要两年半",edupromotion
" 现在考教师证难吗",edupromotion
" 网上考试吗？",edupromotion
" 老师还有别的途径吗",edupromotion
"成人高考 自考 哪个简单",edupromotion
" 大专也是本科吗",edupromotion
"大专 本科 有什么区别",edupromotion
" 可以边考边读书吗？",edupromotion
" 上课呢？",edupromotion
" 你们是培训吗？",edupromotion
" 有哪些专业不需要读高数",edupromotion
" 我就想问下怎么退费",edupromotion
" 自学本科也算吧？",edupromotion
" 如果上面试培训我想知道课程是怎样的，怎么安排的",edupromotion
" 现在开始学习会太晚了嘛？",edupromotion
" 在哪个软件可以查国家承认的学历呢",edupromotion
" 到大三不是取消非师范类考试了吗",edupromotion
" 非医学专业可以学吗？",edupromotion
" 第二学历怎么获取",edupromotion
" 有没有环境专业",edupromotion
" 现考教师证自考大专非师范专业也可？",edupromotion
" 具体什么时候截止",edupromotion
" 英语专业，广东有哪些学校招生？",edupromotion
" 现在什么专业可以选吗？",edupromotion
" 非师范生2019年能报考教师资格证吗",edupromotion
" 学完有工作吗",edupromotion
" 是的，自考会有学位证吗",edupromotion
" 要不要本人去考试？还是在电脑上面考？",edupromotion
" 我看了一下，金融学是属于管理类的吗，因为那里我看到了要学管理学的",edupromotion
" 分数线多少？",edupromotion
" 有什么学校选？",edupromotion
" 介绍有什么专业",edupromotion
" 请问老师插本的专业分文理科吗",edupromotion
" 我高中是理科生，请问老师这样我插本能报的学校是不是很少？",edupromotion
" 函授是什么",edupromotion
" 最近几年比较热门的专业是那些",edupromotion
" 请问读中专可以自学吗",edupromotion
" 方便问一下中专办自学手续困难吗？",edupromotion
" 广州哪个学校可以推荐下吗",edupromotion
" 中专的好难考吗？",edupromotion
" 广东省医学类专插本有哪几所学校？",edupromotion
" 2019插本院校有哪些",edupromotion
" 你们主要经营的是什么",edupromotion
" 可以读全日制的吗",edupromotion
" 还能报考吗？",edupromotion
" 肇庆也是只招应届生吗",edupromotion
" 能学到什么",edupromotion
" 请问招跨专业的学生吗",edupromotion
" 有哪些专业",edupromotion
" 请问有服装设计这个专业吗",edupromotion
" 报名拿到毕业证需要多久",edupromotion
" 还可以换专业的嘛？",edupromotion
" 论文大二也写吗",edupromotion
" 是的，函授是不是星期六星期日上课的？",edupromotion
" 考专科幼儿师范的需要多久",edupromotion
" 请老师介绍一下吧",edupromotion
" 中专升大专要读几年",edupromotion
" 除了体育还有什么",edupromotion
" 也是跟统招人一起上课吗",edupromotion
" 深圳龙华有机构吗？",edupromotion
" 请问香港户口的应届毕业生可以报考吗？",edupromotion
" 你是自考办的？",edupromotion
" 成人教育难考吗？",edupromotion
" 你这机构在哪里",edupromotion
" 有时间截止吗",edupromotion
" 你们机构在哪里",edupromotion
" 我现在是读会计的 插本可以选择其它专业吗",edupromotion
" 那如果读会计或者师范哪个学校比较好呢",edupromotion
" 需要学习的课目有哪些呢？",edupromotion
" 考大专难吗",edupromotion
" 比较简单的老师哪些专业",edupromotion
" 网上还是？",edupromotion
" 需要读多长时间",edupromotion
" 我问了好几家都说只有本科有，专科没有",edupromotion
" 新疆不是也设了考点吗？",edupromotion
" 如果是成人大专呢",edupromotion
" 有山西这边接待的老师吗",edupromotion
" 那就麻烦您帮我介绍一下专业吧",edupromotion
" 现在还可以考这个教师资格证是吗",edupromotion
" 请问思想政治教育专业可以插本哪些学校呢",edupromotion
" 想了解下贵司是负责什么",edupromotion
" 对。是否需要教师证？",edupromotion
" 我在考虑中大新华还是华商还是吉珠还是华珠",edupromotion
" 学费多少",edupromotion
" 您介绍一下",edupromotion
" 那得几年呢",edupromotion
" 需要入学考试吗",edupromotion
" 我教会计专业，教职业中专可以，可也要考教师证吗？",edupromotion
" 年龄限制多少岁",edupromotion
" 想学心理健康教育专业，你们开班了么",edupromotion
" 不是说要扣那个诚信分吗？",edupromotion
" 那个诚信分扣了会怎样？",edupromotion
" 全日制的 有吗",edupromotion
" 我现在 在你看来 是不符合条件吗",edupromotion
" 请问广州自考有计算机科学与技术专业吗",edupromotion
" 今年是一个专业吗",edupromotion
" 有好建议？想读完能有好工作",edupromotion
" 刚一开始问的时候为啥不讲叻",edupromotion
" 学完有护士资格证的吗",edupromotion
" 是晚上吗",edupromotion
" 今年几月份可以呢",edupromotion
" 这个学校你们查过了确实没有问题对吧",edupromotion
" 你们这帮报读的是什么学校",edupromotion
" 你是不是华南理工学院的",edupromotion
" 是全日制的吗 我想咨询本科",edupromotion
" 意思是可以吗",edupromotion
" 学校在哪个位置",edupromotion
" 毕业了有证？",edupromotion
" 你能保证我百分百通过考试吗",edupromotion
" 这个网站可靠吗？",edupromotion
" 对了，这个学历含金量怎么样",edupromotion
" 可以读小学教师的吗？",edupromotion
" 我是外省户口可以在广东考吗",edupromotion
" 大专要多长时间呢？",edupromotion
" 那个专业比较好考？",edupromotion
" 请问广东专插本哪个学校好好",edupromotion
" 那分数线是多少",edupromotion
" 那3门？招生分数多少？",edupromotion
" 问一下 你们这个中医学业余形式的  本科毕业后给的是毕业证还是学士学位证",edupromotion
" 麻烦老师介绍一下！",edupromotion
" 工商管理，市场营销，像这两科拿证要多久",edupromotion
" 本科就不用考试是吗？",edupromotion
" 深圳有没有自考法律系的院校",edupromotion
" 华南师范招生吗",edupromotion
" 自考哪个专业最简单呢",edupromotion
" 都要多少分啊",edupromotion
" 非师范生可以考？",edupromotion
" 是自考的还是",edupromotion
" 什么培训机构",edupromotion
" 我想问一下这是网上授课的吗",edupromotion
" 还可以考小学的吗？",edupromotion
" 通过你们这个平台考教师资格证几率有多大",edupromotion
" 我想问多少年拿到毕业证？",edupromotion
" 广州美术学院是怎样的呢",edupromotion
" 有什么专业呢？",edupromotion
" 分别是哪三个授课点啊",edupromotion
" 不是，我是想知道成考过后可以和统招一起上课和生活吗",edupromotion
" 我在深圳，应该还没受限吧？",edupromotion
" 要求年龄吗",edupromotion
" 上课形式是什么",edupromotion
" 你们机构在那里？",edupromotion
" 专升本，土木工程专业几年毕业？",edupromotion
" 这个的话具体要考一些什么课程",edupromotion
" 价格多少",edupromotion
" 没基础学是不是很费劲和钱呢",edupromotion
" 几个月能拿证吗",edupromotion
" 我想知道你是哪个机构",edupromotion
" 技校高级工证等同于大专对吧！可以直接报本科吧！",edupromotion
" 想了解一下广东省有哪些学校是招专插本的",edupromotion
" 哪种学历含金量高",edupromotion
" 学费多少",edupromotion
" 你好，请问2019年五邑大学专插本的专业有什么啊?",edupromotion
" 不是先考普通话，再能考面试吗",edupromotion
" 您不是自考办的？？？",edupromotion
" 专升本必过吗？",edupromotion
" 我一想问一下补录会不会录取得到呢？",edupromotion
" 我大专读的是金融类的，保险专业，本科可以报工程造价与管理这一类的吗？",edupromotion
" 成人高考要多少分",edupromotion
" 網絡課程怎麼上的?",edupromotion
" 全日制需要读几年?",edupromotion
" 有什么专业建议呢",edupromotion
" 你好，我是刚刚咨询学校内的宿舍租房，目前是学生。想问一下你们学校的宿舍或公寓的房出租吗？我想咨询一下",edupromotion
" 计划招多少人呢？",edupromotion
" 请问你这里是哪个机构？",edupromotion
" 走什么专业可报",edupromotion
" 不是必须要人事关系所在地吗",edupromotion
" 专插本你们的通过率高吗，会很难吗",edupromotion
" 谢谢学校都是全日制的吗",edupromotion
" 这个级别对以后教师的工资有区别吗",edupromotion
" 教师资格证是只考一次吗？",edupromotion
" 2019年的教师资格证笔试请问是什么时候？",edupromotion
" 帮忙介绍一些吧。",edupromotion
" 有学习英语专业吗",edupromotion
" 可以选技校吗？",edupromotion
" 请问这些都是需要本人去考试的是吗",edupromotion
" 老师你好，插本的话是不是选择自己目前所学专业胜算大一点",edupromotion
" 广东有哪些插本学校",edupromotion
" 异地报考，必须缴纳社保满6个月？",edupromotion
" 怎么会有3次呢？",edupromotion
" 2019年会招收什么专业",edupromotion
" 我想咨询一下行政管理专科考试难吗",edupromotion
" 想去上课就可以去？",edupromotion
" 是不是满十八岁都可以",edupromotion
" 我问问2019年最早报考的地方",edupromotion
" 你这个是什么学校呢？",edupromotion
" 你介绍一些吧",edupromotion
" 想问有什幺专业",edupromotion
" 有什么专业？",edupromotion
" 你好，惠州报考教师资格证面试是不是得是惠州户口才能办理",edupromotion
" 需要开专科在读证明吗？",edupromotion
" （城镇有害生物综合治理）这个有吗？",edupromotion
" 在哪里报考啊，有没有培训",edupromotion
" 自考专升本，计算机专业怎么收费的",edupromotion
" 我想问自考本科 可以改不同的专业吗",edupromotion
" 中技属于高中吗？",edupromotion
" 你是茂名的吗？",edupromotion
" 我想问问你学校有机电一体化专业吗",edupromotion
" 只要交了钱，肯定审核那能过吗？我就是劳动关系那不行，学历什么的都符合的",edupromotion
" 我有东莞社保，满六个月现在差不多12个月了，只是没有给我交社保那个单位的合同",edupromotion
" 您号，想了解本科，有美术学这个专业吗？",edupromotion
" 请问你们是培训机构还是？",edupromotion
" 请问是叁加自考，还是学校考试，毕业证是那个学校的？",edupromotion
" 你们的培训机构在深圳那个地方？",edupromotion
" 是需要去读的吗？",edupromotion
" 你们是什么机构",edupromotion
" 你是网校的老师？",edupromotion
" 不是生源地，外地可考教师资格证吗",edupromotion
" 这个专业可以直接升药学专业的本科吗？",edupromotion
" 是不是要等到毕业才能考的",edupromotion
" 请问报考高职大专教师资格研究生就可以了，是吗？",edupromotion
" 初中毕业不可以吗",edupromotion
" 专升本需要多长时间能拿证？",edupromotion
" 可以介绍一些专业吗？",edupromotion
" 在广东省报考教师资格证但是户籍不在广东省可以吗",edupromotion
" 有什么学校可以报呢",edupromotion
" 你们是机构来的吗",edupromotion
" 这个拿到的证是函授的还是国家认可的",edupromotion
" 要每天都去学习吗？",edupromotion
" 这些要一级一级的考吗",edupromotion
" 是否能报呢？",edupromotion
" 可以 免考数学英语 有什么专业",edupromotion
" 星海舞蹈专业可以报吗",edupromotion
" 有什么学校",edupromotion
" 可是你页面上写的不就是大牛教育吗",edupromotion
" 国考考试？",edupromotion
" 师范和非师范一样的考试题目么",edupromotion
" 小学的最简单是吧",edupromotion
" 那成人大专入学考试是考什么呢",edupromotion
" 那毕业证上的身份证与我报考插本的身份证不符也没影响吗",edupromotion
" 信息还没发我呢",edupromotion
" 有哪些本科学校可报的呀",edupromotion
" 你好有数控学吗？",edupromotion
"大专 要读几年",edupromotion
" 都有哪些专业",edupromotion
" 广财有这个专业吗",edupromotion
" 有哪些专业？",edupromotion
" 你好在吗？我想询问下，成人本科毕业证算是全日制的吗",edupromotion
" 确定台湾人可以考？？",edupromotion
" 我就想知道插本需要考什么科目",edupromotion
" 初中可以报考广东财经大学吗？",edupromotion
" 高职高考现在每一年都只有一次吗",edupromotion
" 有影视表演吗",edupromotion
" 从什么时候开始上课？",edupromotion
" 学费按学期交，还是怎么",edupromotion
" 行政管理好学吗",edupromotion
" 有不用考试的吗",edupromotion
" 为什么老师给我细细的说明下老师",edupromotion
" 国家承认吗？",edupromotion
" 整个广东省的高校教师资格证不应该通用吗",edupromotion
" 电子信息工程有吗",edupromotion
" 报名大概要几年后再来说吧",edupromotion
" 咨询那些不需要收费那些吧😂",edupromotion
" 我想问一下就是我是上半年的教师资格证我下半年认定过了证前几天拿到了 可是网上查询显示证书不存在 这是怎么回事",edupromotion
" 有什么比较快能拿到的",edupromotion
" 中国医科大药学专业本科还招人吗？",edupromotion
" 有没有口腔的",edupromotion
"自考 是需要通过考试被录取才能读的嘛",edupromotion
"大专 毕业有没有毕业证",edupromotion
" 我是辽宁这边的 可以报么",edupromotion
" 成考跟自考有什么区别",edupromotion
" 非全日制大专也可以报考教师资格证考试吗",edupromotion
" 你好，我想了解下专插本的学校和专业有哪些",edupromotion
" 专插本的医学生要考什么科目呀？",edupromotion
" 小学教师资格证分科目吗？",edupromotion
" 是的！请问如果笔试过了！如何进行面试！",edupromotion
" 可报考执业医师吗",edupromotion
" 麻烦问一下，教师证如何考，考几科，",edupromotion
"专升本 根据您的经验哪个专业容易考呢",edupromotion
" 可以学建筑专业吗？",edupromotion
"自考 统招 毕业证不一样？",edupromotion
" 有关于房地产这方面的专业吗",edupromotion
" 我已40岁还可以报？",edupromotion
" 一般本科要读几年啊",edupromotion
" 你有咩好推荐啊？我本身大专是会计学的，但有点想转专业。",edupromotion
" 大成人大专和本科的区别",edupromotion
" 不是我想问一下，文科都有哪些？",edupromotion
" 因为都说插本很难，成功几率几乎为零，更何况跨专业",edupromotion
" 大专学几年",edupromotion
" 公司要第一学历档案，函授毕业是不是没有",edupromotion
" 我想问下华南理工有成人高考吗",edupromotion
" 我想请问下您 华南理工的成绩是多少呢",edupromotion
" 华南理工不是985 211么",edupromotion
" 有没有电气工程及其自动化这个专业",edupromotion
" 老师还在吗？请问我这个中专的要是升到本科需要多久几年",edupromotion
" 请问你们学校有自考本科吗",edupromotion
" 你好，请问暨南大学有没有金融学可以报。",edupromotion
" 教师资格证是嘛",edupromotion
" 你是说其他时候不上课吗",edupromotion
" 有协议班吗",edupromotion
" 请问这里有全日制本科吗",edupromotion
" 女生学什没好？",edupromotion
" 初中学历呢",edupromotion
" 现在大专不能考初中是吗",edupromotion
" 请问在有广州电气自动化培训的课程吗",edupromotion
" 哪里的学校",edupromotion
" 有计算机吗，我大专",edupromotion
"教师证 幼儿园或小学，能分析下么",edupromotion
" 暨南大学 金融管理目前还在招生吗",edupromotion
" 。普宁市电大国家认可吗？",edupromotion
" 介绍一下",edupromotion
" 请问老师，那个学校的专插本通过率高",edupromotion
" 需要在档案更改专业吗",edupromotion
" 你是机器人？",edupromotion
" 我问你是不是人机",edupromotion
" 专升本读多少年",edupromotion
" 有什么推荐的",edupromotion
" 你确定英语专业可以报考三次?",edupromotion
" 有会记的吗？",edupromotion
" 请问湖南户籍可以在东莞考教师证吗",edupromotion
" 我想问下汕头有哪个学校能读专插本的",edupromotion
" 毕业几年了还可以考专插本吗",edupromotion
" 拿的毕业证是不是就成了广东工业大学的毕业证了？",edupromotion
" 中山大学有哪些专业呢",edupromotion
" 意思是说，中山大学已经不可以了 是吗",edupromotion
" 都有哪些专业",edupromotion
" 我想问下，半工半读，要多长时间拿证",edupromotion
" 哪个专业好学好考报哪个吧",edupromotion
" 这样吗，对了，有今年的准考证图片给我看下吗",edupromotion
" 没有身份证原件可以的嘛",edupromotion
" 找人帮忙去提交材料，没有申请人身份证原件可以的吗？有复印件",edupromotion
" 那要去考几次？",edupromotion
