sentence,sentence2,label
我有手淫习惯，,我以前有手淫的习惯,1
大便有血怎么回事啊,大便有血是怎么回事,1
月经量少是怎么回事啊,月经量少是怎么回事,1
在吗，您好,您好，在吗？,1
你好，请问怀孕几天能测出来,你好，请问一下，怀孕几天能测出来？,1
怎么治啊？,那怎么治啊,1
阴道炎用什么药？,阴道炎用什么药,1
包皮是长的,是的，包皮长,1
大概费用要多少,大概要多少钱的,1
需要住院治疗吗？,住院治疗吗,1
 冰点脱毛是吗？,冰点脱毛吗？,1
我先天没有子宫,先天没有子宫,1
月经是黑色怎么回事,月经黑色 怎么回事,1
有什么好的治疗方法呢,有什么好的治疗方法,1
吃什么药治疗阳痿早泄？,阳痿早泄吃什么药,1
去胎记大概要多少钱,去胎记大概多少钱,1
医院是私立医院吗,你们医院是私立的吗,1
有点早泄，尿频,早泄尿频有点,1
脱毛可以吗,脱毛可以吗,1
一般正常的性生活是多少分钟,性生活多少分钟正常,1
是公立还是私立医院,咱们这医院是公立的还是私立的,1
玻尿酸隆鼻能维持多久,玻尿酸注射 能维持多久,0
双眼皮   开眼角,双眼皮 开眼角,1
吃药什么的可以吗,吃药可以吗,1
激光能脱毛吗？永久的,激光脱毛是永久的？,0
可以洗纹身的吗,可以洗纹身吗？,1
那吃什么药呢？,那吃什么药呢,1
咱是三甲医院吗？,你们医院是三甲医院吗,1
你好，包皮手术多久可以恢复,包皮手术多久可以恢复,1
吃什么药能好呢,吃什么药能治疗,1
这个瘦脸针是什么牌子的,瘦脸针 是什么牌子的,1
激光祛斑之后，会反弹吗,激光祛斑之后，会反弹吗,1
我不知道是不是白斑,不知道是不是白癜风,1
请问你们医院是三甲医院吗,你们是三甲医院吗,1
不需住院吗？,要住院吗？,1
吃什么药治疗？,吃什么药啊？,1
药物能治疗吗,药物治疗吗,0
能祛疤吗？ ,可以祛疤吗,1
半永久纹眉的呢？,纹眉 半永久？,0
那有什么好办法,那有什么办法吗,1
请问腺肌症是怎么回事,腺肌症是怎么回事,1
瘦脸针打了有什么副作用,瘦脸针 有什么副作用,1
你们是私立医院还是公立？,你们医院是公立还是私立呀,1
药流可以做吗,可以药流吗,1
永久脱毛是吗,是永久脱毛吗？,1
医院是私立医院吗,咱们医院是私立医院吗,1
我想问一下瘦脸针 ,我想问一下瘦脸针,1
洗纹身大概多少钱,洗纹身 多少钱,1
包皮痛不痛,割包皮 痛不痛,1
血管瘤危险吗,血管瘤 危险吗,1
大便出血怎么回事？,大便出血怎么回事,1
永久脱毛有吗,永久脱毛是吗,0
一个月月经两次，什么原因,一个月来两次是什么原因呢？,1
子宫切除后还能不能过性生活,子宫切除还能过性生活吗,1
吃点啥药好,吃点药好吗,1
隆鼻假体材料是什么？,隆鼻 假体是什么材料,1
有人没？,有人吗,1
血管瘤有什么症状,血管瘤什么症状,1
先天性无子宫怎么治疗？,先天性无子宫 请问怎么治疗,1
请问冰点脱毛是永久的吗？,冰点脱毛 是永久的吗,1
请问激光祛斑会反弹吗？,激光祛斑会反弹吗,1
需要做什么检查吗,还需要做什么检查吗,1
那这个吃点什么药好呢,这个吃点什么药好,1
胎记会长大吗,胎记会长大吗,1
胎记会长大吗,胎记会长大的吗,1
来月经有血块正常吗,月经来血块多是正常的吗？,0
你好早泄能治好吗,早泄能治好吗,1
阳痿怎么解决,阳痿 怎么解决呢,1
怎么治好早泄啊,早泄怎么治啊？,1
吃药吗？,是吃药吗？,1
有些松弛，双眼皮贴经常贴,有些松弛，双眼皮贴经常贴,1
肝血管瘤是怎么形成的,血管瘤怎么形成的,1
洗纹身大概要多少钱,洗纹身大概多少钱,1
通常多少钱？,多少钱？,1
请问处女膜修复可以做吗,请问可以做处女膜修复吗？,1
宫颈糜烂可以治疗吗？,请问宫颈糜烂可以治疗吗,1
双子宫能怀孕吗？,双子宫能怀孕吗？,1
早泄吃什么药好呀,早泄 吃什么药好呢,1
可以用药物治疗吗？,用药物治疗吗,0
幼稚子宫可以治疗么,幼稚子宫 可以治疗吗,1
来月经量少怎么回事,月经量少怎么回事,1
什么药物治疗,用什么药物治疗,1
瘦脸针有什么副作用请问,瘦脸针有什么副作用？,1
子宫小影响怀孕么,子宫小影响怀孕吗,1
自体脂肪能维持多久？,自体脂肪能维持多久,1
这个会不会怀孕,会不会怀孕？,1
脱毛是永久的？,脱毛是永久的吗,1
是吃药治疗？还是？,是吃药治疗还是什么,1
月经不调是怎么回事诶,月经不调是怎么回事？,1
就是我的包皮有点长,就是包皮有点长,1
以前有手淫的习惯，,我以前有手淫的习惯,1
不是永久脱毛吗,脱毛 不是永久？,1
男人多久射才算正常,男人多久算正常,0
我以前经常熬夜,就是经常熬夜,1
请问可以药物流产吗,可以药物流产吗,1
白斑会传染吗？,白斑  会传染吗,1
没有影响？,有什么影响没有,1
你们可以洗纹身吗？,你们那可以洗纹身？,1
瘦脸针什么牌子的啊,瘦脸针 用什么牌子的啊,1
永久脱毛是永久的吗？,有永久脱毛？,0
请问幼稚子宫，能治疗吗,请问是幼稚子宫可以治疗吗？,1
请问洗纹身可以吗,洗纹身 可以洗吗,1
双子宫有什么影响吗,双子宫有什么影响吗？,1
你们用的是什么牌子的瘦脸针？,你们是什么牌子瘦脸针,1
需要住院做这个吗？,需要住院吗？,1
一般怀孕多久有反应呢,怀孕一般多久有反应,1
激光洗纹身会留疤吗,激光洗纹身 会不会留疤啊,1
好治疗吗w,好治疗吗,1
怀孕一般多久可以用试纸测出来啊,怀孕多久可以用试纸测出来,1
几个 月了,有几个月了,1
你医院是在哪里的,医院在哪里,1
怀孕了不想要怎么办,怀孕了 不想要怎么办,1
您好，怀孕多久会有反应呢,怀孕多久会有反应呢,1
也经常熬夜,就是经常熬夜,1
白带是褐色怎么回事,请问白带怎么褐色怎么回事,1
怎么收费的,怎么收费的,1
 永久脱毛吗？,脱毛 永久的吗？,1
洗纹身大概要多少钱,洗纹身要多少钱,1
怎么可以戒掉手淫,手淫怎么戒掉呢？,1
这个要怎么检查,要怎么检查？,1
平常经常贴双眼皮贴,我经常贴双眼皮贴,1
请问先天性无子宫还能治疗吗,先天性无子宫能治疗吗,1
可以永久脱毛吗,有永久脱毛吗？,0
自体脂肪丰胸有什么副作用吗,自体脂肪丰胸有没有什么副作用,1
幼稚子宫可以治疗么？,幼稚子宫 可以治疗吗,1
脱毛会不会痛,脱毛 会不会痛,1
这个要怎么治疗啊，,这个怎么治疗啊,1
我的白带发黄怎么回事,白带发黄怎么回事,1
我也早泄好治吗,早泄好治吗？,1
您好在吗？？,您好，在吗？,1
有便血怎么回事,便血怎么回事,1
肠镜痛苦不？,肠镜 痛苦吗,1
我的外阴特别痒,外阴特别痒，,1
怀孕多久有反应？,怀孕多久有反应,1
怎样才是包皮过长,怎样才算包皮过长,1
血管瘤一般要多少钱,血管瘤 一般要多少钱,1
请问你们的医院是公立还是私立啊,你们医院是公立还是私立呀,1
那，怎么办,那怎么办,1
国产瘦脸针和进口的区别是什么,瘦脸针 国产和进口的有什么区别啊？,1
打玻尿酸能保持多久？,注射玻尿酸能保持多久,1
吃点什么药好？,这个吃点什么药好,1
情况有几个月了,有几个月了,0
请问月经一个月两次正常吗,月经 一个月两次正常吗,1
月经推迟多久算正常,月经推迟多久算正常,1
先天性无子宫能怎么治疗,先天性无子宫有治疗吗,0
想咨询一下，早泄,我想咨询一下早泄,1
光子嫩肤有什么用,光子嫩肤有什么效果,1
一直贴双眼皮贴有点松弛了,经常贴双眼皮贴有点松弛了,1
激光去胎记多少钱,激光去胎记多少钱,1
这个怎么治疗啊,这个治疗怎么治疗啊？,1
我怀孕不想要怎么办？,不想要孩子怎么办,1
那怎么治呢,怎么治呢,1
如果怀孕了多久会有反应,怀孕多久会有反应呢,1
非经期出血是什么原因呢,非经期出血是怎么回事呢,1
手淫过多导致阳痿早泄怎么办,手淫过多导致早泄怎么办？,1
月经量少什么调理,月经量少 怎么调理,1
有没有副作用的,有没有副作用？,1
可以做处女膜修复手术吗？,请问可以做处女膜修复吗？,1
做双眼皮，恢复大概多久,做双眼皮 大概要多久恢复,1
外阴瘙痒用什么药,请问外阴瘙痒用什么药呢？,1
什么原因引起的？,什么原因引起的,1
一般需要多少钱,一般多少钱,1
多白带是怎么回事,白带多是怎么回事,1
手淫过多导致阳痿早泄怎么办,手淫过多导致早泄怎么办？,0
白斑能治好吗？,白斑 能治好吗,1
宫颈糜烂可以治疗吗,请问宫颈糜烂可以治疗吗,1
始基子宫 能治好吗,始基子宫能治好吗,1
怀孕多久可以测出,多久可以测出怀孕,1
同房多久能测出怀孕啊,请问同房多久可以测出怀孕,1
用什么药物可以治疗的,用什么药物治疗,1
效果怎么样,效果怎么样,1
可以药物治疗吗,药物可以治疗吗？,1
是怎么检查,怎么检查？,1
想问一下 B超和彩超区别是什么,彩超和B超有什么区别,1
检查泌尿科需要空腹吗？,妇科检查 需要空腹吗,0
一般正常的性生活是多少分钟,性生活多少分钟正常,1
你们是私立还是公立的,你这医院是公立还是私立的，,1
怀孕的初期症状是什么,怀孕初期的症状有什么呢,1
冰点脱毛是永久的吗？,你们冰点脱毛是永久脱毛吗,1
是的，吃什么药呢,那吃什么药呢,1
治疗血管瘤一般要多少钱,血管瘤治疗一般多少钱,1
埋线能保持多久？,埋线能保持多久,1
不知道是不是白癜风,不知道是不是白癜风,1
是永久性的脱毛吗,可以永久性脱毛吗,0
白斑就是白癜风吗？,白斑 就是白癜风吗,1
白带多发黄怎么回事,我的白带多发黄怎么回事,1
你们瘦脸针的牌子是什么的,你们瘦脸针是什么牌子的,1
什么药物治疗,用什么药物治疗,1
先天性无子宫还能治吗,先天性无子宫能治吗,1
玻尿酸隆鼻能维持多久,玻尿酸隆鼻是能维持多久,1
我的白带像豆腐渣怎么回事,白带像豆腐渣一样是怎么回事,1
是冰点脱毛还是激光呢？,冰点脱毛 是用激光还是？,0
怀孕的症状有哪些,怀孕都有哪些症状,1
私立还是公立？,您这医院是私立还是公立的,1
是永久脱毛吗,脱毛 是永久的吗,1
请问肚子左边疼是怎么回事,肚子左边疼是怎么回事,1
先天性无子宫，可以治疗吗,先天性无子宫能治疗吗,1
早泄可以治疗？,早泄可以治疗吗？,1
哦，国产的和进口的有什么区别,哦，国产的和进口的有什么区别,1
请问白癜风会传染吗,白癜风  会传染吗,1
洗纹身洗几次能干净,洗纹身 大约洗几次能洗干净,1
是永久性脱毛？,这个是永久性脱毛吗,1
怎样才算包皮过长？,怎样才算包皮过长,1
玻尿酸管多久,注射玻尿酸管多久,1
子宫多大正常呢,正常子宫多大？,1
国产的和进口的有什么区别呢,国产和进口有什么区别呢,1
盆腔炎有什么症状,盆腔炎有什么症状么,1
这个是怎么治疗？,这个治疗怎么治疗啊？,1
包皮过长影响发育吗,包皮过长还影响发育吗,1
这个需要怎么治疗啊？,这个治疗怎么治疗啊？,1
会有什么后遗症的吗,会有后遗症吗？,1
月经量少发黑什么原因,月经量少发黑  是什么原因,1
你们是公立还是私立医院,你这医院是公立还是私立的，,1
先天性无子宫，可以治疗吗,先天性无子宫可以治疗吗,1
怀孕多久有反应？,怀孕多久 会有反应,1
早泄可以治疗吗，,早泄可以治疗吗？,1
国产仪器和进口的有什么区别？,国产和进口有什么区别呢,0
请问你们的医院是公立还是私立啊,你们医院是公立还是私立的,1
双眼皮和开眼角的,双眼皮和开眼角,1
白癜风能治好吗？,白癜风能治好吗？,1
你是公立还是私立医院,你们医院是私立的还是公立的,1
白斑就是白癜风吗？,白斑就是白癜风吗？,1
做双眼皮，恢复大概多久,双眼皮手术 大概多久恢复,1
肾衰竭有什么好的治疗方法？,早泄有什么好的治疗方法,0
天生没有子宫可以治疗吗,天生无子宫可以治疗吗,1
吃药还是什么,是吃药治疗还是什么,1
请问男人做爱多久算正常,男人多久算正常,1
怀孕多久可以做b超,怀孕多久可以做b超查出来,1
怎么降低敏感度呢？,怎么降低敏感度,1
那该怎么办呢，？,那该怎么办呢？医生,1
是永久性的脱毛吗,你好，脱毛是永久性的吗,1
请问外阴瘙痒用什么药,你好，请问外阴瘙痒用什么药？,1
洗纹身会不会留疤,洗纹身 会留疤吗？,1
左边的睾丸疼怎么回事,左边睾丸疼怎么回事,1
能洗纹身吗？,可以洗纹身吗,1
麻疹会不会传染,白斑 会不会传染,0
白带有的发黄怎么回事,我的白带有点发黄是怎么回事,1
那早泄怎么办,早泄那怎么办,1
您好，请问切除子宫对性生活有影响吗？,你好，请问切除子宫对性生活会有影响吗？,1
白带像豆腐渣是怎么回事,白带像豆腐渣一样是怎么回事,1
 进口瘦脸针跟国产的有什么区别,瘦脸针 国产的和进口的有什么区别呢,1
是什么影响没有,有什么影响没有,1
包皮过长不做手术可以不,包皮可以不做手术吗？,0
冰点脱毛是永久的吗？,冰点脱毛能永久脱毛吗？,1
瘦脸针有什么副作用请问,瘦脸针 有什么副作用,1
这个严重吗,严重吗,1
费用大约多少钱,大约需要多少钱,1
你是正规医院吗,是正规医院吗,1
血管瘤危险吗？,血管瘤危险吗,1
幼稚子宫能治好 吗,请问幼稚子宫能治好吗,1
要住院的吗,要住院吗？,1
阳痿早泄吃什么,早泄 阳痿吃什么药,1
可以洗纹身吗，,可以洗纹身的吗,1
我想咨询"血管瘤多少钱",我想咨询"坐血管瘤多少钱",1
 用激光祛痣会不会留疤,激光祛痣会留疤吗？,1
怀孕多久会有反应？,怀孕多久有反应啊,1
就是包皮过长不做手术可以吗,包皮不做手术可以吗,0
那有什么办法解决吗？,那有什么办法吗,1
费用大概多少钱,要多少钱大概,1
吃药还是手术。,手术还是吃药,1
有副作用吗 ,有什么副作用吗,1
白带是褐色是怎么回事啊,褐色白带怎么回事啊,1
洗纹身可以洗干净么,纹身可以洗干净吗,1
怎么调理月经不调呢,月经不调 怎么调理,1
那大概要多少钱,要多少钱大概,1
多长时间能好啊,多长时间能好,1
白癜风能治好吗,白癜风能治好吗？,1
什么是割包皮,割包皮是什么,1
不是永久脱毛？,脱毛  不是永久的吗,1
切除了子宫还能性生活吗？,切除子宫还能过性生活吗？,1
是永久脱毛的吗,脱毛 有永久的吗？,1
你好早泄怎么治疗,你好早泄怎么治疗呢,1
就是尿道有点痒,尿道就是痒,1
激光祛斑会不会反弹,激光祛斑 会反弹吗,1
双角子宫能手术吗,双角子宫可以手术吗,1
月经不调怎么调理？,月经不调 怎么调理呢,1
怎么回事,是怎么回事,1
点痣会留疤不,点痣会不会留疤？,1
跟手淫有关系吗,那这个跟手淫有关系吗,1
皮肤松弛有一点吧 经常贴双眼皮贴,经常贴双眼皮贴有点松弛了,1
月经量少是怎么回事呢，,月经量少怎么回事？,1
宫外孕什么症状啊,宫外孕有什么症状,1
用什么药物能好呢？,用什么药物呢,1
怎样治疗,需要怎样治疗？,1
男人做爱多久算正常,男人多久算正常,1
请问外阴瘙痒用什么药,你好，我的外阴瘙痒用什么药,1
水光针299是什么,水光针是什么,0
咱们是公立还是私立医院,咱们这医院是公立的还是私立的,1
大慨要多少钱,多少钱,1
用试纸能测出来吗,用试纸能测出来吗现在？,1
是什么原因引起的,什么原因引起的,1
大便出血是怎么回事,大便出血，怎么回事,1
祛斑一般要几次,脱毛 一般要几次,0
可以保密吗,能保密吗,1
注射瘦脸针有什么副作用吗？,瘦脸针 有什么副作用吗？,1
费用大概多少钱,大概多少钱,1
黄褐斑要怎么治疗,黄褐斑怎么治疗,1
前列腺什么症状呢,前列腺什么症状,1
你们是大医院吗,你们是大医院吗,1
白带发黄，多，异味,白带有点发黄，还多有异味,1
冰点脱毛是永久吗？,是冰点永久脱毛吗,1
你们瘦脸针是什么牌子的,你们瘦脸针是什么牌子的,1
可以点痣吗,现在可以点痣吗,1
月经发黑怎么回事,月经发黑 是怎么回事,1
这个治疗是怎么治疗的啊,这个治疗怎么治疗啊？,1
你好始基子宫能治疗怀孕吗？,你好，始基子宫能治疗吗,0
子宫纵膈能怀孕吗？,纵膈子宫能怀孕吗,1
医生双角子宫能怀孕吗,双角子宫能怀孕吗,1
可以治疗的吗,可以治疗吗,1
脱毛可以永久脱毛吗？,可以永久脱毛吗,1
你好始基子宫可以治疗吗,你好，始基子宫能治疗吗,1
血管瘤应该挂什么科,血管瘤应该挂什么科,1
可以勃起硬度不够,勃起硬度不够,1
时间短怎么治疗呢,时间短怎么治疗,1
祛斑会不会反弹呢,祛斑 会不会反弹,1
那吃什么药可以呢,那吃什么药呢,1
这个怎么治疗？,这个治疗怎么治疗啊？,1
是公立还是私立，,请问公立还是私立？,1
这个应该怎么治疗呢,应该怎么治疗呢？,1
私立医院是吗,你们医院是私立的吗,1
一般洗纹身要多少钱,洗纹身 一般多少钱,1
那国产和进口的有什么区别,哦，国产的和进口的有什么区别,1
来月经有血块正常吗？,月经有血块，正常吗？,1
国产瘦脸针和进口的区别是什么,瘦脸针 进口的和国产的有什么区别呢,1
手淫多以前,手淫  以前多,1
胎记可以去除吗？,胎记 胎记可以去除吗,1
吸脂手术有危险吗,你好 吸脂手术危险吗,1
多少钱一颗,多少钱一颗,1
前列腺都什么症状,前列腺什么症状,1
怀孕了，不想要怎么办？,怀孕了 不想要怎么办,1
要吃什么药呢,吃什么药呢,1
玻尿酸可以保持多久,玻尿酸 能保持多久,1
白癜风能根治吗？,白癜风 能根治吗？,1
月经不调是怎么回事？,月经不调 怎么回事呢,1
是包皮长的,是的 包皮长,1
980双眼皮是埋线还是割的,双眼皮 你是割还是埋线,0
现在怎么降低敏感度,怎么降低敏感度,1
药物可以治疗吗,药物可以治疗吗？,1
要住院吗？,要住院吗？,1
我感觉是肾虚,我感觉我肾虚,1
可以修复处女膜吗,请问可以做处女膜修复吗？,1
瘦脸针可以维持多久？,瘦脸针可以维持多久,1
做祛斑可以吗,祛斑可以吗？,1
吃药治疗呢 还是,是吃药治疗还是什么,1
白带发黄是什么原因呢,白带发黄的原因是什么,1
是冰点脱毛吗 ,这个是冰点脱毛吗,1
吃啥药,吃啥药呢,1
子宫切除以后还能过性生活吗？,切除子宫还能过性生活吗？,1
外阴瘙痒用什么药治疗,你好，我的外阴瘙痒用什么药,1
你们是正规医院吗,是正规医院吗,1
外阴痒用什么药,外阴痒用什么药,1
血管瘤什么样子,血管瘤是什么样子的？,1
可以祛斑吗？ ,祛斑可以吗？,1
那怎么解决呢,怎么解决,1
这个怎么能治疗啊,这个怎么治疗啊,1
外阴瘙痒是怎么回事,外阴瘙痒怎么回事,1
一般洗纹身要多少钱,洗纹身要多少钱,1
要住院的吗？,要住院吗,1
你好，龟头上有小红点是怎么回事？,龟头上有小红点是怎么回事？,1
月经不调是什么原因？,月经不调 是什么原因呢,1
怎样才算包皮过长？,怎样才算包皮过长,1
龟头上有小红点，怎么回事,龟头上有小红点怎么回事,1
我想问一下瘦脸针298吗,我想问一下瘦脸针,0
可以永久脱毛吗,脱毛，可以永久？,1
你好    早泄怎么治疗,你好早泄怎么治疗呢,1
你们可以洗纹身吗,你们可以洗纹身吗,1
双角子宫能治疗吗？,双角子宫可以治疗吗,1
正常子宫多大,正常子宫多大,1
这个治疗是怎么治疗的啊,这个怎么治疗啊,1
注射瘦脸针有什么副作用吗？,瘦脸针 有什么副作用,1
阴道炎怎么引起的呢,阴道炎 怎么引起的,1
看胎记是挂什么科,看胎记在医院挂什么科,1
那宫颈糜烂怎么治疗呢,宫颈糜烂 怎么治疗,1
你好 还在吗,你好在吗？,1
正常多少分钟,多少分钟正常,1
 永久脱毛吗？,脱毛 能永久吗？,1
怎么治啊,那怎么治啊,1
那怎么可以治疗呢,那怎么治疗呢,1
正常的子宫是多大,正常子宫有多大,1
吃药可以吗，,吃药可以吗,1
乳头内陷怎么办,内陷乳头 怎么办,1
阴道炎用什么药？,阴道炎 用什么药治疗？,1
这个是三甲医院吗,你们是三甲医院吗,1
外阴瘙痒，用什么药？,外阴瘙痒，用什么药,1
割了有什么好处吗,割了有怎么好处,1
验孕棒一深一浅是怎么回事,验孕棒一深一浅是什么情况,1
瘦脸针有副作用吗？ ,瘦脸针 有什么副作用吗？,1
洗纹身多少钱嘞,洗纹身 一般多少钱,1
请问白癜风会传染吗,白癜风 会传染吗,1
阳痿早泄应该吃什么药呢,早泄应该吃什么药,0
请问可以药流吗,可以药流吗,1
药吃什么呢,那吃什么药呢,1
那该怎么办呢？,那该怎么办,1
需要住院吗？,治疗需要住院吗,1
双子宫是什么意思？,双子宫是什么意思,1
洗纹身需要多少钱,洗纹身 多少钱,1
月经黑色的是怎么回事,月经有黑色是怎么回事,1
龟头上出现小红点是怎么回事？,龟头上有小红点，是怎么回事？,1
血管瘤能治愈吗,血管瘤能治愈吗？,1
血管瘤有危险吗,血管瘤危险吗,1
瘦脸针有副作用吗？ ,瘦脸针 有什么副作用,1
祛痘印可以吗,请问可以祛痘印吗,1
纹身能洗干净吗？,纹身可以洗干净吗？,1
请问一下幼稚子宫可以治疗吗？,请问是幼稚子宫可以治疗吗？,1
大便出血是怎么回事？,大便出血怎么回事？,1
是永久性的脱毛吗,这个是永久性脱毛吗,1
两个子宫能怀孕吗,两个子宫可以怀孕吗,1
纹身能洗干净吗,纹身能洗干净吗,1
进口的和国产的区别？,进口的和国产的有什么区别,1
请问白癜风会传染吗,白癜风 请问会传染吗,1
请问怀孕多久可以做人流,怀孕多久可以做人流？,1
白斑会传染吗，,白癜风 会传染吗,0
是的，是无痛人流吗？,人流都是无痛的吗？,0
幼稚子宫能治好 吗,你好，幼稚子宫能治好吗,1
石女是什么意思啊？,石女是什么意思？,1
是包皮长的,是的 包皮长,1
可以祛斑吗？ ,可以祛斑吗？,1
验孕棒一深一浅怎么回事？,我用的验孕棒一深一浅是怎么回事,1
那宫颈糜烂怎么治疗呢,宫颈糜烂怎么治疗,1
早泄能治好的吗,早泄  能治好吗,1
吃什么药了,吃什么药啊？,1
怎么治疗这个,这个治疗怎么治疗啊？,1
脸上黑点,脸上有黑点,1
冰点脱毛永久吗？,你们冰点脱毛是永久脱毛吗,1
怎样治疗？,怎样治疗啊？,1
什么是物理治疗,物理治疗是什么？,1
包皮痒是咋回事呢,阴囊痒是咋回事？,0
请问你们是公立还是私立,请问公立还是私立？,1
阴囊潮湿是什么原因引起的,阴囊潮湿是什么原因,1
先天性无子宫，能治疗吗,请问先天性无子宫能治疗吗？,1
用什么治疗药,用什么药可以治疗,1
玻尿酸保持多久,注射玻尿酸能保持多久,1
始基子宫能治好嘛,始基子宫能治好吗？,1
龟头上出现小红点是怎么回事？,龟头上有小红点是怎么回事？,1
我便血是怎么回事,便血 是怎么回事,1
严重吗？这个病,这个病严重吗？,1
激光会有副作用吗,激光 有副作用吗,1
同房多久能测出怀孕,请问同房多久可以测出怀孕,1
幼稚子宫可以治吗？,幼稚子宫可以治吗,1
